STATE,FIP,Year,deaths,pop,fat_rate,own_rate
Massachusetts,25,2005,224,6403290,3.5,0.103
Michigan,26,2005,1074,10051137,10.69,0.346
Minnesota,27,2005,361,5119598,7.05,0.387
Mississippi,28,2005,455,2905943,15.66,0.5
Missouri,29,2005,752,5790300,12.99,0.417
Montana,30,2005,161,940102,17.13,0.694
Nebraska,31,2005,135,1761497,7.66,0.371
Nevada,32,2005,390,2432143,16.04,0.36
New Hampshire,33,2005,88,1298492,6.78,0.364
New Jersey,34,2005,434,8651974,5.02,0.106
New Mexico,35,2005,267,1932274,13.82,0.406
New York,36,2005,1019,19132610,5.33,0.192
North Carolina,37,2005,1119,8705407,12.85,0.375
North Dakota,38,2005,61,646089,9.44,0.546
Ohio,39,2005,1116,11463320,9.74,0.348
Oklahoma,40,2005,468,3548597,13.19,0.441
Oregon,41,2005,402,3613202,11.13,0.484
Pennsylvania,42,2005,1352,12449990,10.86,0.414
Rhode Island,44,2005,39,1067916,3.65,0.124
South Carolina,45,2005,589,4270150,13.79,0.394
South Dakota,46,2005,82,775493,10.57,0.504
Tennessee,47,2005,976,5991057,16.29,0.467
Texas,48,2005,2490,22778123,10.93,0.376
Utah,49,2005,227,2457719,9.24,0.377
Vermont,50,2005,44,621215,7.08,0.403
Virginia,51,2005,888,7577105,11.72,0.408
Washington,53,2005,567,6257305,9.06,0.364
West Virginia,54,2005,261,1820492,14.34,0.631
Wisconsin,55,2005,474,5546166,8.55,0.41
Wyoming,56,2005,71,514157,13.81,0.592
Alabama,01,2004,679,4530729,14.99,0.516
Alaska,02,2004,117,659286,17.75,0.58
Arizona,04,2004,897,5652404,15.87,0.368
Arkansas,05,2004,406,2749686,14.77,0.544
California,06,2004,3316,35574576,9.32,0.203
Colorado,08,2004,553,4575013,12.09,0.411
Connecticut,09,2004,173,3496094,4.95,0.166
Delaware,10,2004,75,830803,9.03,0.331
Florida,12,2004,1890,17415318,10.85,0.234
Georgia,13,2004,1062,8769252,12.11,0.43
Hawaii,15,2004,41,1273569,3.22,0.2
Idaho,16,2004,177,1391802,12.72,0.557
Illinois,17,2004,994,12589773,7.9,0.226
Indiana,18,2004,639,6233007,10.25,0.391
Iowa,19,2004,195,2953635,6.6,0.423
Kansas,20,2004,294,2734373,10.75,0.428
Kentucky,21,2004,551,4146101,13.29,0.52
Louisiana,22,2004,902,4552238,19.81,0.491
Maine,23,2004,108,1313688,8.22,0.411
Maryland,24,2004,656,5546935,11.83,0.236
Massachusetts,25,2004,206,6412281,3.21,0.104
Michigan,26,2004,1048,10055315,10.42,0.384
Minnesota,27,2004,363,5087713,7.13,0.406
Mississippi,28,2004,471,2889010,16.3,0.53
Missouri,29,2004,664,5747741,11.55,0.451
Montana,30,2004,125,930009,13.44,0.62
Nebraska,31,2004,119,1749370,6.8,0.466
Nevada,32,2004,392,2346222,16.71,0.392
New Hampshire,33,2004,69,1290121,5.35,0.315
New Jersey,34,2004,454,8634561,5.26,0.108
New Mexico,35,2004,289,1903808,15.18,0.391
New York,36,2004,951,19171567,4.96,0.174
North Carolina,37,2004,1055,8553152,12.33,0.383
North Dakota,38,2004,50,644705,7.76,0.546
Ohio,39,2004,1036,11452251,9.05,0.328
Oklahoma,40,2004,457,3525233,12.96,0.495
Oregon,41,2004,385,3569463,10.79,0.407
Pennsylvania,42,2004,1270,12410722,10.23,0.356
Rhode Island,44,2004,41,1074579,3.82,0.116
South Carolina,45,2004,574,4210921,13.63,0.436
South Dakota,46,2004,77,770396,9.99,0.567
Tennessee,47,2004,869,5910809,14.7,0.472
Texas,48,2004,2342,22394023,10.46,0.368
Utah,49,2004,225,2401580,9.37,0.442
Vermont,50,2004,61,619920,9.84,0.442
Virginia,51,2004,817,7475575,10.93,0.384
Washington,53,2004,569,6178645,9.21,0.369
West Virginia,54,2004,253,1816438,13.93,0.556
Wisconsin,55,2004,413,5514026,7.49,0.416
Wyoming,56,2004,56,509106,11.0,0.607
Alabama,01,2003,765,4503491,16.99,0.504
Alaska,02,2003,120,648414,18.51,0.587
Arizona,04,2003,849,5510364,15.41,0.393
Arkansas,05,2003,413,2724816,15.16,0.516
California,06,2003,3468,35253159,9.84,0.198
Colorado,08,2003,501,4528732,11.06,0.373
Connecticut,09,2003,153,3484336,4.39,0.179
Delaware,10,2003,65,818003,7.95,0.304
Florida,12,2003,1940,17004085,11.41,0.266
Georgia,13,2003,1173,8622793,13.6,0.396
Hawaii,15,2003,37,1251154,2.96,0.063
Idaho,16,2003,164,1363380,12.03,0.51
Illinois,17,2003,1146,12556006,9.13,0.218
Indiana,18,2003,696,6196638,11.23,0.364
Iowa,19,2003,208,2941999,7.07,0.389
Kansas,20,2003,304,2723004,11.16,0.437
Kentucky,21,2003,560,4117170,13.6,0.507
Louisiana,22,2003,847,4521042,18.73,0.476
Maine,23,2003,82,1306513,6.28,0.421
Maryland,24,2003,648,5496269,11.79,0.24
Massachusetts,25,2003,204,6422565,3.18,0.129
Michigan,26,2003,1030,10041152,10.26,0.359
Minnesota,27,2003,332,5053572,6.57,0.405
Mississippi,28,2003,477,2868312,16.63,0.541
Missouri,29,2003,657,5709403,11.51,0.433
Montana,30,2003,145,919630,15.77,0.632
Nebraska,31,2003,134,1738643,7.71,0.391
Nevada,32,2003,374,2248850,16.63,0.36
New Hampshire,33,2003,89,1279840,6.95,0.33
New Jersey,34,2003,458,8601402,5.32,0.112
New Mexico,35,2003,326,1877574,17.36,0.407
New York,36,2003,1034,19175939,5.39,0.157
North Carolina,37,2003,1055,8422501,12.53,0.374
North Dakota,38,2003,58,638817,9.08,0.51
Ohio,39,2003,934,11434788,8.17,0.335
Oklahoma,40,2003,449,3504892,12.81,0.467
Oregon,41,2003,395,3547376,11.13,0.427
Pennsylvania,42,2003,1230,12374658,9.94,0.397
Rhode Island,44,2003,35,1071342,3.27,0.074
South Carolina,45,2003,593,4150297,14.29,0.456
South Dakota,46,2003,76,763729,9.95,0.537
Tennessee,47,2003,837,5847812,14.31,0.436
Texas,48,2003,2432,22030931,11.04,0.362
Utah,49,2003,230,2360137,9.75,0.401
Vermont,50,2003,48,617858,7.77,0.427
Virginia,51,2003,811,7366977,11.01,0.358
Washington,53,2003,565,6104115,9.26,0.383
West Virginia,54,2003,265,1812295,14.62,0.561
Wisconsin,55,2003,468,5479203,8.54,0.445
Wyoming,56,2003,89,503453,17.68,0.596
Alabama,01,2002,724,4480089,16.16,0.553
Alaska,02,2002,127,642337,19.77,0.614
Arizona,04,2002,968,5396255,17.94,0.381
Arkansas,05,2002,441,2705927,16.3,0.56
California,06,2002,3410,34871843,9.78,0.228
Colorado,08,2002,517,4490406,11.51,0.363
Connecticut,09,2002,147,3458749,4.25,0.193
Delaware,10,2002,74,806169,9.18,0.317
Florida,12,2002,1886,16689370,11.3,0.277
Georgia,13,2002,1133,8508256,13.32,0.442
Hawaii,15,2002,36,1239613,2.9,0.098
Idaho,16,2002,163,1340372,12.16,0.576
Illinois,17,2002,1231,12525556,9.83,0.232
Indiana,18,2002,723,6155967,11.74,0.408
Iowa,19,2002,201,2934234,6.85,0.417
Kansas,20,2002,268,2713535,9.88,0.418
Kentucky,21,2002,544,4089875,13.3,0.52
Louisiana,22,2002,876,4497267,19.48,0.485
Maine,23,2002,88,1295960,6.79,0.41
Maryland,24,2002,615,5440389,11.3,0.252
Massachusetts,25,2002,204,6417206,3.18,0.115
Michigan,26,2002,1092,10015710,10.9,0.388
Minnesota,27,2002,306,5018935,6.1,0.409
Mississippi,28,2002,492,2858681,17.21,0.541
Missouri,29,2002,696,5674825,12.26,0.477
Montana,30,2002,134,911667,14.7,0.626
Nebraska,31,2002,140,1728292,8.1,0.419
Nevada,32,2002,370,2173791,17.02,0.386
New Hampshire,33,2002,76,1269089,5.99,0.317
New Jersey,34,2002,415,8552643,4.85,0.117
New Mexico,35,2002,304,1855309,16.39,0.431
New York,36,2002,994,19137800,5.19,0.177
North Carolina,37,2002,1136,8326201,13.64,0.397
North Dakota,38,2002,58,638168,9.09,0.517
Ohio,39,2002,1069,11407889,9.37,0.321
Oklahoma,40,2002,452,3489080,12.95,0.483
Oregon,41,2002,374,3513424,10.64,0.422
Pennsylvania,42,2002,1220,12331031,9.89,0.381
Rhode Island,44,2002,55,1065995,5.16,0.136
South Carolina,45,2002,566,4107795,13.78,0.466
South Dakota,46,2002,61,760020,8.03,0.564
Tennessee,47,2002,905,5795918,15.61,0.468
Texas,48,2002,2301,21690325,10.61,0.379
Utah,49,2002,207,2324815,8.9,0.467
Vermont,50,2002,62,615442,10.07,0.441
Virginia,51,2002,806,7286873,11.06,0.386
Washington,53,2002,568,6052349,9.38,0.362
West Virginia,54,2002,271,1805414,15.01,0.58
Wisconsin,55,2002,446,5445162,8.19,0.422
Wyoming,56,2002,95,500017,19.0,0.644
